192.168.0.159,192.168.0.163,192.168.0.157,192.168.0.164,192.168.0.160
3.04,0.23,0.56,0.313,3.56
3.04,0.23,0.56,0.313,3.57
3.04,0.23,0.56,0.314,3.57
3.04,0.23,0.56,0.315,3.57
3.04,0.23,0.56,0.316,3.58
3.04,0.23,0.56,0.32,3.58
3.04,0.23,0.56,0.322,3.58
3.04,0.23,0.56,0.324,3.58
3.04,0.23,0.56,0.327,3.58
3.05,0.23,0.56,0.327,3.59
3.05,0.23,0.56,0.329,3.59
3.05,0.23,0.56,0.33,3.59
3.05,0.23,0.56,0.332,3.6
3.05,0.23,0.56,0.332,3.6
3.05,0.23,0.56,0.334,3.61
3.05,0.23,0.56,0.335,3.61
3.05,0.23,0.56,0.335,3.61
3.06,0.23,0.56,0.336,3.62
3.06,0.23,0.56,0.336,3.62
3.06,0.23,0.56,0.336,3.62
3.06,0.23,0.56,0.337,3.62
3.06,0.23,0.56,0.337,3.63
3.06,0.23,0.56,0.338,3.63
3.06,0.23,0.56,0.339,3.63
3.06,0.23,0.56,0.339,3.64
3.07,0.23,0.56,0.339,3.64
3.07,0.23,0.56,0.339,3.65
3.07,0.23,0.56,0.34,3.65
3.07,0.23,0.56,0.34,3.65
3.07,0.23,0.56,0.341,3.65
3.07,0.23,0.56,0.341,3.65
3.07,0.23,0.56,0.341,3.65
3.07,0.23,0.56,0.342,3.66
3.08,0.23,0.56,0.342,3.66
3.08,0.23,0.56,0.342,3.68
3.08,0.231,0.56,0.342,3.69
3.08,0.231,0.56,0.343,3.71
3.08,0.231,0.561,0.343,3.72
3.08,0.231,0.561,0.343,3.72
3.08,0.231,0.561,0.343,3.72
3.08,0.231,0.561,0.343,3.73
3.09,0.231,0.561,0.344,3.74
3.09,0.231,0.561,0.344,3.74
3.09,0.231,0.561,0.344,3.74
3.09,0.231,0.561,0.344,3.76
3.09,0.231,0.561,0.345,3.76
